COMID,min,max,mean,median
71022444,0,77.7000732421875,7.82953405380249,4.72545222558122
71028377,0,510.300048828125,92.6161117553711,70.7999792531204
71028380,0,497.699951171875,95.4324493408203,71.7095326009815
71039266,0,1167.10009765625,179.223602294922,115.214495402384
71033367,0,61.2999877929688,9.74614238739014,6.89998500605283
71033362,0,64,12.9549446105957,9.15880329102391
71039250,0,697.099975585938,189.70866394043,174.147640366188
71022435,0,73.5,9.95334911346436,7.00001355186605
71033334,0,70.5999755859375,13.0532054901123,8.73300655072604
71022409,0,146.799926757812,13.8365249633789,9.59639601942033
71033318,0,50.7999877929688,8.46921920776367,6.39996461102267
71033313,0,54.5999755859375,9.17531776428223,7.23943358132152
71033247,0,69.9000244140625,7.83698797225952,5.5999851997116
71039121,0,1069.20007324219,232.847244262695,174.312615147371
71039109,0,1026.40014648438,222.401611328125,158.412942288551
71033183,0,70.5999755859375,7.16277074813843,4.89997274607749
71039048,0,888.200073242188,192.679214477539,148.000092643125
71033126,0,84.2999877929688,6.04986476898193,4.39997381284916
71033120,0,389,59.2127952575684,41.0139298157174
71038961,0,1305.80004882812,226.229965209961,157.454736691707
71038946,0,1180.09997558594,205.778228759766,146.786533647953
71026853,0,60.1000366210938,8.78393936157227,6.30002036299069
71033035,0,57.9000244140625,11.967869758606,9.10009300046256
71033026,0,299.799926757812,54.3113288879395,35.7999371971549
71038901,0,786.200073242188,179.606521606445,146.983829107631
71038890,0,997.000122070312,210.330413818359,180.233400299178
71032973,0,665.5,80.2932968139648,56.6999641090572
71032972,0,169.799926757812,24.5774002075195,15.1000629996397
71038844,0,973.800048828125,149.882446289062,91.0253061773984
71032914,0,255.599975585938,35.9111137390137,27.0214738477861
71038826,0,1022.80017089844,207.936920166016,161.599930031109
71032903,0,90.300048828125,12.5506429672241,7.80003048347759
71032896,0,188.60009765625,30.6092262268066,17.1000322687698
71026700,0,69.7000122070312,8.94039440155029,5.91874265020024
71032859,0,206.699951171875,35.7099800109863,22.4000005320549
71032842,0,68.2000122070312,8.18158340454102,4.39998739730905
71032838,0,775.099975585938,135.531753540039,106.068407736653
71032823,0,113.800048828125,9.22870254516602,4.69998185578812
71032804,0,61.300048828125,10.4756650924683,6.89998929069395
71032802,0,720.89990234375,141.202880859375,111.244574200415
71038722,0,1020.09997558594,187.947326660156,140.400131428988
71032795,0,155.400024414062,24.9081058502197,16.0784122242676
71026572,0,78.8999633789062,12.5698165893555,7.57668986127773
71038637,0,889.599975585938,152.107650756836,101.100087514121
71032683,0,711.300048828125,174.236953735352,131.707141621107
71032682,0,817.200073242188,83.7814254760742,55.9047754363533
71032673,0,109.099975585938,15.3562297821045,10.0641068179983
71032649,0,50.7999877929688,10.6639537811279,8.4000697734496
71032632,0,284.800048828125,38.0411949157715,28.7173612762128
71032618,0,158.400024414062,31.5913333892822,22.2000282091122
71032602,0,915.900146484375,167.629440307617,129.305959021834
71032580,0,854.599975585938,192.56282043457,160.260221308201
71032574,0,1067.60009765625,191.93083190918,139.167381810927
71032535,0,341.5,70.0079116821289,56.3999398164033
71032531,0,226.900024414062,32.8210258483887,21.3435593645086
71026344,0,140.600036621094,16.0445861816406,7.5701169618922
71032492,0,151.099975585938,27.1020603179932,20.4017292352717
71032486,0,75.2999267578125,11.8888139724731,10.1999618107486
71032479,0,106.5,17.7122993469238,12.7999653624412
71032455,0,600.299926757812,60.0638847351074,35.2000118327465
71032440,0,953.800048828125,172.799880981445,114.37236671584
71038383,0,1150.30004882812,206.335235595703,149.950282337597
71032422,0,997.000122070312,166.500701904297,119.29996513036
71032409,0,930.599975585938,171.313705444336,118.467850722755
71026196,0,136.099975585938,19.6470966339111,13.0000172031858
71032380,0,619.700073242188,132.239212036133,106.000859945424
71026193,0,47.4000244140625,7.55916213989258,5.26274173871306
71032379,0,48.199951171875,11.2757549285889,7.69998880757163
71032377,0,73,13.3207159042358,9.78443025474686
71038278,0,1032.10009765625,170.471664428711,104.020407637852
71026134,0,110.499938964844,13.5016965866089,9.10000819348275
71032292,0,1054.50012207031,262.602905273438,227.641013986387
71032287,0,749.300048828125,169.398590087891,134.846149476284
71038233,0,847.599975585938,108.258239746094,50.74736602779
71032269,0,842.400146484375,190.146926879883,133.800009403229
71032265,0,170.099975585938,29.6179981231689,19.0999794186004
71032259,0,218.599975585938,48.9844207763672,42.485439626792
71032233,0,859.900146484375,190.460784912109,148.021035123162
71026037,0,96.3999633789062,15.9351043701172,12.1000270266235
71026036,0,128.799987792969,20.0440444946289,14.6000437809472
71032217,0,1001.30004882812,186.463668823242,134.556536329422
71026015,0,88.5,16.1827697753906,10.3999041582445
71032200,0,57.800048828125,13.3435077667236,9.60005714843028
71032185,0,1121.80017089844,182.216293334961,130.239734610597
71038127,0,1150.30004882812,192.511199951172,146.422688070448
71032117,0,735.400024414062,147.525970458984,110.630248843921
71032109,0,95.300048828125,19.6624813079834,14.900022898303
71032106,0,995.499877929688,196.162841796875,138.360529611017
71032102,0,1022.40002441406,174.749557495117,120.657855622407
71025911,0,122.199951171875,16.4702472686768,10.7999305677261
71032095,0,103.599975585938,15.542592048645,13.0595151126165
71038064,0,222.900024414062,41.8470153808594,27.8000185766182
71032090,0,680.800048828125,153.039398193359,131.476891448684
71032089,0,108.299926757812,16.5595436096191,12.9170123544816
71032073,0,1158.5,137.921203613281,81.8218700164994
71025869,0,111.600036621094,14.4269609451294,8.48817824964923
71032048,0,163.5,33.292121887207,22.2000529529174
71038014,0,988.200073242188,157.805770874023,126.307644085914
71025839,0,81.4000854492188,16.2538166046143,11.5999993103399
71032024,0,165,31.8378314971924,23.200006550455
71037990,0,469.199951171875,87.4949951171875,63.2999508832578
71037977,0,1004.59997558594,159.404739379883,117.913314373465
71037968,0,136.89990234375,12.6983575820923,8.60005860344162
71025799,0,124.700012207031,20.3854064941406,15.3000246749548
71031986,0,718.800048828125,135.168197631836,106.214009985438
71031975,0,148.800048828125,20.7134037017822,14.2066180572279
71037949,0,388.400024414062,62.514949798584,49.2000117970359
71031968,0,849.099853515625,151.567657470703,111.599970062147
71031965,0,96.2000732421875,20.0198783874512,16.3999101790465
71031931,0,57.800048828125,10.9604139328003,8.69999597708548
71031922,0,891.200073242188,171.955871582031,133.799906933725
71031911,0,605.900024414062,90.8966674804688,73.8000697217726
71031893,0,1062.09997558594,192.406356811523,121.620379552312
71037879,0,464.5,66.845344543457,48.9155468767502
71025693,0,82.1000366210938,13.2822103500366,8.89994773268701
